idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
23,2001-06-23,Paraná,9970,Ensino Superior,4,Divorciado(a),Educação
43,1981-03-04,Amazonas,26108,Pós-Graduação,1,Viúvo(a),Tecnologia
26,1998-05-18,Rio Grande do Norte,25567,Ensino Fundamental,3,Casado(a),Tecnologia
27,1997-06-11,Acre,28592,Ensino Fundamental,3,Solteiro(a),Engenharia
39,1984-09-25,Bahia,5571,Ensino Fundamental,0,Solteiro(a),Tecnologia
56,1967-12-17,Maranhão,11381,Pós-Graduação,0,Divorciado(a),Saúde
21,2003-04-12,Rio Grande do Norte,11069,Pós-Graduação,3,Casado(a),Marketing
54,1970-04-12,Ceará,21160,Ensino Médio,2,Viúvo(a),Administração
54,1969-10-18,Paraíba,17052,Pós-Graduação,3,Divorciado(a),Educação
34,1990-02-04,Rio Grande do Norte,11233,Mestrado,1,Casado(a),Educação
31,1993-03-16,Roraima,18005,Mestrado,2,Casado(a),Administração
39,1985-06-06,Santa Catarina,3233,Doutorado,4,Solteiro(a),Saúde
60,1964-06-15,Distrito Federal,19930,Pós-Graduação,3,Divorciado(a),Engenharia
46,1978-08-20,Pernambuco,6975,Ensino Fundamental,4,Divorciado(a),Saúde
35,1989-08-15,Mato Grosso,9098,Ensino Médio,4,Viúvo(a),Engenharia
51,1972-12-21,Piauí,7836,Ensino Médio,0,Solteiro(a),Tecnologia
52,1971-09-04,Rondônia,29279,Ensino Médio,0,Divorciado(a),Administração
59,1965-03-17,Santa Catarina,14977,Ensino Médio,3,Divorciado(a),Tecnologia
24,1999-12-08,Rondônia,14266,Doutorado,0,Viúvo(a),Administração
24,2000-07-09,Amazonas,6660,Ensino Fundamental,1,Viúvo(a),Tecnologia
42,1981-12-17,Amazonas,4925,Ensino Fundamental,2,Casado(a),Administração
52,1971-10-21,Bahia,25804,Doutorado,2,Divorciado(a),Saúde
48,1975-11-23,Distrito Federal,11429,Ensino Superior,3,Casado(a),Administração
47,1977-01-11,Santa Catarina,17024,Ensino Superior,3,Viúvo(a),Marketing
60,1964-05-10,Espírito Santo,4680,Doutorado,4,Viúvo(a),Saúde
48,1976-04-17,Bahia,9313,Pós-Graduação,4,Casado(a),Administração
33,1990-11-20,Rondônia,13666,Doutorado,1,Divorciado(a),Educação
27,1997-06-03,Goiás,19954,Doutorado,1,Solteiro(a),Engenharia
53,1970-10-20,Rio Grande do Sul,20953,Ensino Fundamental,3,Divorciado(a),Tecnologia
47,1977-01-27,Alagoas,11253,Doutorado,0,Divorciado(a),Tecnologia
51,1973-06-17,Santa Catarina,15287,Ensino Fundamental,3,Casado(a),Educação
56,1967-09-02,Pará,28937,Ensino Médio,1,Divorciado(a),Educação
47,1976-12-17,Tocantins,19921,Ensino Fundamental,2,Viúvo(a),Saúde
50,1973-11-03,Pernambuco,8905,Ensino Fundamental,2,Casado(a),Educação
35,1989-06-16,Espírito Santo,25925,Ensino Fundamental,1,Solteiro(a),Engenharia
40,1984-04-06,Minas Gerais,2648,Mestrado,1,Divorciado(a),Saúde
20,2003-10-01,Acre,6302,Doutorado,4,Casado(a),Administração
49,1975-06-24,Rio de Janeiro,21729,Doutorado,0,Solteiro(a),Administração
19,2005-07-17,Sergipe,16958,Doutorado,4,Divorciado(a),Tecnologia
49,1975-03-20,Mato Grosso do Sul,18648,Ensino Superior,3,Casado(a),Administração
38,1986-06-06,Alagoas,25751,Ensino Médio,0,Viúvo(a),Educação
18,2006-05-05,São Paulo,20925,Mestrado,3,Casado(a),Administração
20,2003-12-16,Rio Grande do Sul,27307,Pós-Graduação,3,Viúvo(a),Administração
46,1978-08-11,Distrito Federal,16666,Doutorado,0,Viúvo(a),Educação
57,1967-05-03,Santa Catarina,16873,Ensino Fundamental,4,Casado(a),Tecnologia
58,1966-03-12,Sergipe,2597,Ensino Superior,0,Divorciado(a),Tecnologia
50,1973-11-23,Sergipe,19644,Pós-Graduação,1,Solteiro(a),Engenharia
60,1963-09-05,Rondônia,15431,Mestrado,3,Casado(a),Tecnologia
28,1995-09-13,Goiás,24216,Pós-Graduação,0,Solteiro(a),Marketing
29,1994-10-13,Rio Grande do Norte,13682,Pós-Graduação,3,Casado(a),Engenharia
24,2000-02-04,Rio Grande do Sul,7332,Ensino Superior,3,Viúvo(a),Administração
18,2006-04-24,Amazonas,16920,Mestrado,3,Solteiro(a),Educação
52,1971-11-20,Bahia,9562,Mestrado,2,Solteiro(a),Saúde
40,1984-03-15,Rio Grande do Norte,7505,Pós-Graduação,0,Viúvo(a),Tecnologia
41,1983-08-01,Pará,5734,Doutorado,3,Casado(a),Educação
39,1985-06-10,Ceará,19362,Ensino Médio,2,Viúvo(a),Administração
23,2001-04-24,Rio Grande do Sul,17401,Ensino Fundamental,0,Solteiro(a),Marketing
59,1965-04-08,São Paulo,19166,Ensino Médio,4,Viúvo(a),Marketing
48,1975-11-19,Rio Grande do Sul,13169,Ensino Superior,4,Divorciado(a),Engenharia
50,1973-08-29,Minas Gerais,13899,Ensino Superior,0,Casado(a),Marketing
38,1985-09-12,Bahia,16144,Ensino Fundamental,0,Viúvo(a),Engenharia
34,1989-11-17,Paraná,10194,Doutorado,2,Casado(a),Educação
33,1990-09-11,Ceará,29915,Ensino Superior,2,Divorciado(a),Tecnologia
40,1983-10-12,Espírito Santo,5593,Mestrado,0,Divorciado(a),Saúde
60,1964-04-16,Distrito Federal,22901,Pós-Graduação,2,Divorciado(a),Educação
57,1966-12-09,Santa Catarina,22665,Ensino Superior,0,Solteiro(a),Educação
40,1983-12-12,Mato Grosso do Sul,11539,Ensino Superior,3,Viúvo(a),Engenharia
34,1990-05-20,Rio de Janeiro,20407,Ensino Médio,2,Solteiro(a),Administração
33,1990-10-20,Goiás,18278,Mestrado,1,Viúvo(a),Engenharia
33,1991-04-17,Rio Grande do Sul,22107,Ensino Superior,4,Divorciado(a),Tecnologia
40,1984-04-27,São Paulo,25096,Doutorado,0,Casado(a),Administração
34,1990-05-02,São Paulo,6702,Ensino Médio,1,Casado(a),Marketing
50,1973-11-11,Goiás,6254,Pós-Graduação,4,Divorciado(a),Marketing
20,2003-09-16,Pernambuco,24435,Mestrado,0,Casado(a),Engenharia
24,2000-06-16,Espírito Santo,4726,Pós-Graduação,3,Divorciado(a),Engenharia
44,1980-01-13,Bahia,28247,Ensino Médio,2,Divorciado(a),Saúde
19,2005-03-25,Maranhão,13255,Mestrado,3,Viúvo(a),Tecnologia
46,1978-01-17,Rio Grande do Norte,17867,Ensino Fundamental,4,Casado(a),Marketing
56,1968-05-23,Ceará,17437,Ensino Médio,0,Solteiro(a),Administração
56,1968-06-22,Santa Catarina,12934,Mestrado,1,Casado(a),Engenharia
59,1964-12-27,Paraná,3985,Ensino Fundamental,0,Casado(a),Administração
31,1993-05-07,Pará,1820,Ensino Superior,4,Viúvo(a),Educação
41,1982-09-16,Distrito Federal,18711,Pós-Graduação,4,Viúvo(a),Saúde
60,1964-06-26,Acre,27420,Ensino Superior,0,Viúvo(a),Saúde
42,1981-09-10,Pernambuco,7316,Pós-Graduação,1,Viúvo(a),Administração
21,2003-07-03,Minas Gerais,2802,Ensino Médio,1,Viúvo(a),Marketing
56,1968-05-06,Paraná,10167,Ensino Superior,0,Solteiro(a),Engenharia
59,1964-11-29,Santa Catarina,26504,Ensino Superior,3,Viúvo(a),Engenharia
32,1992-08-11,Espírito Santo,11899,Pós-Graduação,2,Solteiro(a),Marketing
35,1989-04-12,Tocantins,29018,Ensino Médio,0,Viúvo(a),Marketing
23,2001-06-29,Distrito Federal,14751,Mestrado,2,Solteiro(a),Marketing
47,1976-10-27,Piauí,21179,Ensino Fundamental,0,Casado(a),Marketing
48,1976-05-16,Rio de Janeiro,4642,Ensino Fundamental,2,Divorciado(a),Saúde
22,2002-08-01,Amapá,15038,Mestrado,0,Solteiro(a),Educação
18,2006-07-18,Minas Gerais,2555,Doutorado,4,Solteiro(a),Saúde
55,1969-08-17,Bahia,8060,Ensino Fundamental,1,Solteiro(a),Educação
42,1982-03-10,Ceará,18518,Ensino Superior,1,Solteiro(a),Engenharia
56,1967-09-14,Roraima,16176,Mestrado,3,Casado(a),Engenharia
42,1982-07-18,Amazonas,5225,Doutorado,3,Solteiro(a),Tecnologia
47,1977-02-08,Distrito Federal,11373,Ensino Fundamental,1,Casado(a),Marketing
46,1978-06-25,Alagoas,22904,Ensino Médio,3,Viúvo(a),Marketing
19,2005-05-07,Goiás,2120,Mestrado,2,Viúvo(a),Saúde
58,1965-10-28,Mato Grosso do Sul,7610,Doutorado,4,Solteiro(a),Administração
37,1987-01-16,Santa Catarina,6088,Doutorado,0,Casado(a),Saúde
34,1989-11-13,Pernambuco,12012,Doutorado,3,Solteiro(a),Tecnologia
30,1993-10-05,Sergipe,2649,Ensino Médio,1,Casado(a),Marketing
23,2001-04-03,Goiás,6173,Ensino Médio,0,Solteiro(a),Saúde
50,1973-12-01,Espírito Santo,7110,Pós-Graduação,1,Solteiro(a),Administração
54,1970-07-12,Paraíba,10762,Mestrado,1,Casado(a),Educação
57,1966-10-31,Pernambuco,18392,Doutorado,3,Viúvo(a),Administração
44,1979-11-16,Rio Grande do Sul,7796,Pós-Graduação,0,Divorciado(a),Educação
47,1977-06-06,Alagoas,18448,Ensino Superior,3,Casado(a),Tecnologia
44,1980-01-28,Rio de Janeiro,24038,Mestrado,4,Viúvo(a),Tecnologia
57,1967-04-08,Ceará,1870,Mestrado,4,Casado(a),Tecnologia
31,1992-08-30,Mato Grosso,5656,Mestrado,3,Casado(a),Tecnologia
18,2006-05-07,Acre,14674,Pós-Graduação,0,Divorciado(a),Administração
52,1972-07-16,Rio de Janeiro,23754,Ensino Médio,0,Solteiro(a),Saúde
31,1993-04-01,Roraima,1574,Ensino Médio,1,Divorciado(a),Administração
27,1996-09-25,Paraíba,9267,Mestrado,2,Viúvo(a),Educação
29,1995-01-20,Santa Catarina,29474,Ensino Fundamental,3,Viúvo(a),Engenharia
51,1972-10-22,Maranhão,17712,Pós-Graduação,3,Viúvo(a),Engenharia
49,1974-12-03,Mato Grosso,9102,Pós-Graduação,2,Divorciado(a),Educação
29,1995-05-18,Mato Grosso,9130,Ensino Médio,1,Solteiro(a),Educação
48,1975-10-08,Rio Grande do Norte,14115,Mestrado,0,Casado(a),Marketing
33,1990-10-12,Amazonas,7763,Doutorado,4,Solteiro(a),Engenharia
24,2000-06-26,Maranhão,27985,Doutorado,4,Solteiro(a),Educação
35,1989-02-22,Pernambuco,8781,Ensino Médio,4,Casado(a),Saúde
24,1999-11-16,Distrito Federal,15285,Ensino Superior,1,Casado(a),Educação
50,1973-11-14,Bahia,13288,Ensino Fundamental,3,Viúvo(a),Engenharia
60,1964-07-06,Rio Grande do Norte,11710,Mestrado,3,Solteiro(a),Tecnologia
42,1982-05-19,Pernambuco,20262,Doutorado,1,Solteiro(a),Saúde
19,2005-01-01,Mato Grosso do Sul,17985,Ensino Superior,4,Viúvo(a),Engenharia
46,1978-02-01,Acre,21438,Ensino Médio,0,Solteiro(a),Administração
23,2001-07-13,Sergipe,2305,Pós-Graduação,4,Casado(a),Tecnologia
36,1987-11-23,São Paulo,28445,Ensino Superior,3,Solteiro(a),Saúde
51,1973-01-03,Paraíba,27259,Doutorado,3,Viúvo(a),Saúde
31,1992-11-06,Bahia,27906,Ensino Médio,0,Divorciado(a),Engenharia
41,1983-03-27,Minas Gerais,16006,Ensino Fundamental,1,Casado(a),Saúde
20,2004-08-09,Santa Catarina,28335,Ensino Fundamental,2,Solteiro(a),Administração
19,2005-01-27,Rio de Janeiro,11905,Ensino Fundamental,1,Divorciado(a),Tecnologia
37,1986-11-12,São Paulo,29156,Ensino Médio,2,Divorciado(a),Saúde
27,1997-02-22,Santa Catarina,12095,Ensino Superior,4,Solteiro(a),Administração
38,1986-04-17,Pernambuco,22366,Doutorado,4,Divorciado(a),Saúde
33,1991-02-14,Mato Grosso,3230,Ensino Médio,0,Solteiro(a),Educação
32,1991-09-04,Pará,25532,Ensino Superior,1,Divorciado(a),Tecnologia
20,2004-04-05,Rondônia,26050,Mestrado,3,Solteiro(a),Engenharia
31,1993-07-20,Rio de Janeiro,18953,Mestrado,1,Solteiro(a),Administração
30,1994-07-12,Ceará,25233,Ensino Fundamental,0,Solteiro(a),Tecnologia
22,2002-04-02,Paraíba,25088,Ensino Fundamental,2,Viúvo(a),Administração
55,1969-01-02,Pará,29257,Ensino Fundamental,3,Casado(a),Educação
23,2001-03-29,Amapá,16385,Mestrado,3,Viúvo(a),Marketing
28,1996-04-10,Roraima,4805,Doutorado,3,Viúvo(a),Educação
41,1983-01-14,Mato Grosso,14441,Ensino Superior,1,Solteiro(a),Saúde
40,1983-12-14,Amapá,22525,Ensino Superior,4,Casado(a),Saúde
31,1992-10-16,Amazonas,27748,Ensino Médio,2,Divorciado(a),Engenharia
52,1972-08-04,Distrito Federal,17840,Doutorado,2,Viúvo(a),Administração
39,1985-08-10,Espírito Santo,26622,Doutorado,1,Viúvo(a),Saúde
21,2003-04-14,Espírito Santo,24942,Mestrado,4,Divorciado(a),Engenharia
49,1975-06-17,Santa Catarina,6898,Ensino Médio,0,Casado(a),Saúde
30,1994-06-13,Espírito Santo,17622,Pós-Graduação,1,Viúvo(a),Educação
45,1979-05-07,Goiás,12513,Ensino Superior,3,Solteiro(a),Administração
29,1995-01-02,Tocantins,7774,Ensino Superior,4,Divorciado(a),Engenharia
18,2006-06-28,Rio Grande do Sul,17227,Ensino Médio,4,Viúvo(a),Engenharia
21,2003-04-13,Rio de Janeiro,6804,Mestrado,3,Viúvo(a),Marketing
43,1981-02-22,Tocantins,8459,Ensino Superior,1,Divorciado(a),Educação
49,1974-11-24,Sergipe,8158,Ensino Médio,2,Divorciado(a),Tecnologia
30,1993-12-31,Bahia,20426,Pós-Graduação,1,Casado(a),Administração
49,1975-08-01,Piauí,3450,Ensino Médio,2,Viúvo(a),Marketing
39,1985-07-09,Roraima,4375,Ensino Fundamental,4,Solteiro(a),Administração
42,1982-06-06,Bahia,4233,Pós-Graduação,4,Solteiro(a),Marketing
50,1974-04-04,São Paulo,9191,Ensino Fundamental,0,Divorciado(a),Saúde
52,1971-10-21,Amazonas,5255,Ensino Superior,1,Viúvo(a),Educação
36,1988-04-11,Pernambuco,19390,Doutorado,2,Divorciado(a),Engenharia
39,1984-09-12,Mato Grosso do Sul,3402,Mestrado,2,Divorciado(a),Tecnologia
30,1994-08-01,Rio Grande do Norte,19190,Ensino Médio,4,Solteiro(a),Saúde
34,1989-12-22,Paraná,24458,Mestrado,2,Divorciado(a),Administração
31,1993-03-22,Rio Grande do Norte,12231,Mestrado,4,Solteiro(a),Tecnologia
28,1995-11-20,Tocantins,16943,Mestrado,2,Viúvo(a),Marketing
19,2005-06-07,Acre,13704,Doutorado,2,Casado(a),Engenharia
45,1978-11-04,Ceará,18490,Ensino Médio,3,Solteiro(a),Marketing
44,1980-08-12,Sergipe,13210,Doutorado,3,Solteiro(a),Engenharia
35,1989-01-24,Rio Grande do Norte,4196,Doutorado,1,Casado(a),Engenharia
36,1988-06-16,Alagoas,24080,Ensino Superior,3,Casado(a),Tecnologia
25,1998-08-29,Distrito Federal,27485,Mestrado,1,Casado(a),Administração
30,1994-01-11,Paraíba,8152,Doutorado,0,Viúvo(a),Marketing
45,1979-01-28,Rondônia,19975,Ensino Superior,0,Viúvo(a),Saúde
58,1966-05-07,Amapá,6346,Pós-Graduação,4,Solteiro(a),Educação
50,1974-07-13,Ceará,5915,Pós-Graduação,4,Divorciado(a),Administração
51,1973-08-14,Roraima,6615,Ensino Fundamental,4,Solteiro(a),Engenharia
21,2002-09-10,Rio Grande do Norte,21346,Mestrado,0,Solteiro(a),Marketing
33,1991-08-02,Rio de Janeiro,9795,Ensino Superior,4,Casado(a),Saúde
25,1998-08-28,Ceará,10672,Ensino Médio,2,Solteiro(a),Administração
41,1983-02-10,Pernambuco,17803,Mestrado,0,Viúvo(a),Educação
18,2006-07-03,Pernambuco,15064,Mestrado,1,Viúvo(a),Tecnologia
45,1978-10-26,Espírito Santo,2739,Pós-Graduação,3,Casado(a),Engenharia
34,1990-07-08,São Paulo,15163,Doutorado,3,Viúvo(a),Marketing
45,1978-10-16,Rio de Janeiro,26856,Mestrado,2,Divorciado(a),Saúde
37,1987-03-27,Pernambuco,29787,Ensino Fundamental,1,Viúvo(a),Tecnologia
32,1992-03-13,Roraima,14960,Mestrado,4,Casado(a),Educação
21,2003-07-11,Amazonas,11121,Mestrado,3,Solteiro(a),Saúde
27,1996-12-26,Bahia,7500,Mestrado,3,Divorciado(a),Educação
43,1981-07-31,Sergipe,12976,Ensino Superior,3,Solteiro(a),Saúde
40,1984-04-15,São Paulo,16126,Doutorado,2,Solteiro(a),Marketing
38,1986-01-31,Maranhão,12863,Ensino Médio,3,Divorciado(a),Educação
43,1981-07-10,Acre,2101,Mestrado,2,Casado(a),Administração
56,1968-06-18,Acre,16882,Doutorado,1,Divorciado(a),Administração
58,1965-11-14,Minas Gerais,13964,Pós-Graduação,2,Solteiro(a),Tecnologia
44,1980-01-06,São Paulo,17310,Pós-Graduação,3,Solteiro(a),Saúde
31,1993-06-27,Rondônia,24570,Ensino Médio,2,Casado(a),Educação
31,1993-06-18,Minas Gerais,17088,Pós-Graduação,0,Solteiro(a),Saúde
59,1965-03-02,Rio Grande do Sul,11829,Doutorado,4,Divorciado(a),Engenharia
29,1995-08-19,Rondônia,11849,Ensino Fundamental,0,Viúvo(a),Educação
24,2000-07-04,Mato Grosso,12438,Ensino Médio,1,Divorciado(a),Marketing
34,1990-04-20,Rio de Janeiro,11915,Mestrado,2,Divorciado(a),Tecnologia
25,1999-03-07,Rio Grande do Norte,20989,Ensino Médio,0,Viúvo(a),Marketing
36,1988-06-27,Mato Grosso,19109,Ensino Superior,4,Solteiro(a),Educação
60,1964-06-30,Amapá,11040,Pós-Graduação,0,Viúvo(a),Saúde
26,1998-05-20,Maranhão,6518,Mestrado,0,Viúvo(a),Engenharia
27,1996-11-22,Ceará,16626,Mestrado,4,Divorciado(a),Tecnologia
30,1993-09-26,Minas Gerais,18000,Ensino Médio,3,Solteiro(a),Tecnologia
22,2001-10-31,Rondônia,20459,Ensino Superior,2,Divorciado(a),Marketing
36,1987-10-16,Rio Grande do Norte,8385,Ensino Superior,4,Solteiro(a),Engenharia
27,1997-05-31,Bahia,8670,Ensino Médio,1,Viúvo(a),Administração
58,1965-12-26,Amapá,3400,Mestrado,0,Casado(a),Educação
60,1963-10-10,Alagoas,17093,Mestrado,2,Casado(a),Engenharia
18,2005-12-23,Pará,7741,Ensino Médio,2,Viúvo(a),Educação
29,1994-08-28,Bahia,22632,Pós-Graduação,0,Casado(a),Saúde
30,1994-08-13,Rio Grande do Norte,16415,Doutorado,0,Solteiro(a),Marketing
31,1992-12-22,Tocantins,21380,Doutorado,4,Viúvo(a),Tecnologia
22,2002-01-26,Ceará,15264,Ensino Fundamental,2,Viúvo(a),Marketing
57,1967-02-02,Ceará,1529,Ensino Médio,3,Solteiro(a),Marketing
60,1964-06-29,Distrito Federal,25003,Doutorado,2,Solteiro(a),Tecnologia
36,1987-10-16,Mato Grosso,22337,Ensino Superior,0,Divorciado(a),Engenharia
31,1993-05-01,Mato Grosso,4045,Ensino Superior,2,Divorciado(a),Administração
44,1980-06-20,Bahia,13866,Mestrado,3,Casado(a),Saúde
45,1979-01-10,Minas Gerais,18436,Doutorado,1,Divorciado(a),Administração
19,2004-09-18,Maranhão,22830,Ensino Médio,2,Solteiro(a),Administração
18,2005-09-30,Amazonas,24844,Doutorado,1,Divorciado(a),Tecnologia
49,1974-12-22,Ceará,10183,Mestrado,0,Casado(a),Marketing
49,1975-04-25,Ceará,1851,Doutorado,4,Viúvo(a),Saúde
46,1978-08-19,Distrito Federal,28163,Doutorado,3,Viúvo(a),Saúde
43,1981-02-22,São Paulo,1980,Doutorado,4,Solteiro(a),Tecnologia
44,1980-06-08,Goiás,18507,Mestrado,1,Divorciado(a),Tecnologia
52,1972-01-18,São Paulo,16630,Ensino Superior,2,Viúvo(a),Marketing
57,1967-01-11,Ceará,6294,Ensino Médio,3,Solteiro(a),Saúde
48,1975-10-30,Mato Grosso,11516,Mestrado,0,Casado(a),Educação
30,1993-11-30,Minas Gerais,9728,Mestrado,4,Casado(a),Tecnologia
39,1985-06-22,Rondônia,1826,Ensino Médio,3,Viúvo(a),Tecnologia
39,1984-11-14,Alagoas,29356,Pós-Graduação,2,Divorciado(a),Educação
43,1981-06-26,Bahia,22571,Doutorado,1,Viúvo(a),Engenharia
56,1968-03-21,Paraíba,20784,Ensino Fundamental,4,Viúvo(a),Administração
29,1995-03-03,Santa Catarina,26306,Ensino Médio,0,Viúvo(a),Administração
19,2004-12-23,Rio Grande do Norte,29944,Ensino Médio,4,Viúvo(a),Tecnologia
45,1979-04-21,Alagoas,29251,Pós-Graduação,3,Casado(a),Administração
24,2000-01-23,Paraíba,6433,Ensino Fundamental,4,Divorciado(a),Tecnologia
41,1982-11-06,Rio de Janeiro,9116,Ensino Fundamental,0,Solteiro(a),Engenharia
28,1995-12-16,Pernambuco,5807,Pós-Graduação,3,Viúvo(a),Tecnologia
29,1995-02-06,Alagoas,22366,Ensino Fundamental,4,Solteiro(a),Tecnologia
30,1993-11-25,Maranhão,4542,Ensino Médio,2,Solteiro(a),Saúde
27,1997-05-28,Mato Grosso do Sul,26902,Mestrado,0,Viúvo(a),Saúde
52,1971-12-10,Rio Grande do Norte,5057,Pós-Graduação,1,Divorciado(a),Marketing
59,1964-11-26,Pernambuco,10259,Doutorado,4,Solteiro(a),Administração
58,1965-10-21,Rio Grande do Sul,2522,Doutorado,3,Viúvo(a),Saúde
51,1973-08-04,Pará,14639,Ensino Superior,4,Solteiro(a),Educação
22,2002-05-06,Minas Gerais,11550,Ensino Fundamental,4,Divorciado(a),Administração
54,1969-11-01,Amapá,26465,Mestrado,2,Solteiro(a),Administração
18,2005-09-23,Tocantins,18856,Ensino Fundamental,4,Divorciado(a),Saúde
56,1968-01-08,Amazonas,26033,Doutorado,3,Solteiro(a),Educação
51,1972-11-02,Rio Grande do Sul,2218,Doutorado,4,Viúvo(a),Marketing
22,2002-05-23,Pernambuco,25586,Ensino Fundamental,3,Viúvo(a),Administração
39,1985-05-16,Paraná,17012,Ensino Médio,2,Casado(a),Tecnologia
21,2002-08-27,Alagoas,1653,Ensino Médio,4,Divorciado(a),Saúde
30,1994-03-28,Acre,2487,Ensino Superior,2,Divorciado(a),Tecnologia
57,1967-07-04,Rio Grande do Norte,22911,Ensino Superior,2,Solteiro(a),Engenharia
21,2002-09-12,Rio Grande do Sul,2549,Ensino Superior,4,Solteiro(a),Tecnologia
20,2004-08-18,Ceará,23969,Mestrado,2,Casado(a),Saúde
27,1997-01-22,Maranhão,25023,Pós-Graduação,1,Viúvo(a),Administração
50,1973-10-08,Goiás,27320,Ensino Fundamental,4,Casado(a),Saúde
19,2005-02-17,Minas Gerais,4029,Ensino Superior,3,Divorciado(a),Educação
40,1984-04-07,São Paulo,14601,Ensino Médio,0,Divorciado(a),Tecnologia
23,2001-04-22,Rio de Janeiro,23425,Pós-Graduação,2,Divorciado(a),Tecnologia
54,1969-12-17,Ceará,11906,Ensino Fundamental,2,Viúvo(a),Educação
22,2002-01-17,São Paulo,25722,Doutorado,2,Divorciado(a),Tecnologia
58,1966-07-12,Mato Grosso do Sul,18801,Ensino Fundamental,3,Divorciado(a),Engenharia
26,1998-06-29,Distrito Federal,3014,Ensino Médio,4,Solteiro(a),Educação
42,1981-11-21,Pará,18733,Doutorado,1,Solteiro(a),Saúde
44,1979-10-23,Rondônia,13283,Doutorado,0,Casado(a),Saúde
31,1993-05-15,Pernambuco,13726,Ensino Médio,4,Solteiro(a),Educação
22,2002-06-13,Maranhão,5947,Doutorado,3,Divorciado(a),Marketing
25,1999-04-05,Paraná,10451,Doutorado,4,Casado(a),Saúde
26,1998-06-19,Mato Grosso do Sul,20659,Ensino Médio,3,Casado(a),Engenharia
49,1975-03-20,Amazonas,22444,Mestrado,0,Viúvo(a),Administração
39,1985-01-20,Alagoas,21739,Ensino Fundamental,2,Solteiro(a),Educação
28,1995-12-14,Roraima,24092,Ensino Médio,2,Divorciado(a),Saúde
44,1980-03-02,Rio Grande do Norte,16920,Ensino Médio,2,Divorciado(a),Educação
60,1964-02-09,Mato Grosso do Sul,5753,Doutorado,0,Viúvo(a),Educação
47,1977-05-15,Santa Catarina,7185,Mestrado,2,Solteiro(a),Saúde
23,2001-08-02,Mato Grosso do Sul,21162,Pós-Graduação,3,Solteiro(a),Saúde
18,2006-06-22,Sergipe,28282,Doutorado,1,Divorciado(a),Engenharia
38,1986-03-20,Goiás,21717,Pós-Graduação,0,Viúvo(a),Saúde
33,1991-05-16,Paraná,17129,Mestrado,1,Divorciado(a),Administração
23,2001-01-20,Mato Grosso do Sul,21450,Ensino Médio,0,Solteiro(a),Engenharia
50,1973-12-10,Paraná,6323,Ensino Fundamental,1,Viúvo(a),Educação
37,1987-06-19,Mato Grosso,17568,Doutorado,2,Viúvo(a),Engenharia
56,1968-03-25,Rondônia,4834,Ensino Fundamental,1,Solteiro(a),Saúde
56,1967-12-24,Alagoas,16096,Ensino Superior,3,Divorciado(a),Marketing
28,1995-10-30,Mato Grosso,3511,Doutorado,0,Divorciado(a),Administração
39,1985-01-07,Rio Grande do Norte,5602,Ensino Médio,1,Casado(a),Marketing
48,1975-10-12,Pernambuco,17241,Doutorado,4,Divorciado(a),Administração
28,1996-01-05,Santa Catarina,27736,Ensino Fundamental,2,Divorciado(a),Tecnologia
41,1983-01-09,Minas Gerais,3516,Doutorado,0,Viúvo(a),Educação
52,1972-01-02,Goiás,21768,Ensino Fundamental,4,Viúvo(a),Marketing
21,2003-06-04,Sergipe,13000,Ensino Superior,2,Divorciado(a),Engenharia
29,1995-06-30,Bahia,10034,Doutorado,3,Casado(a),Educação
20,2004-08-16,Rio Grande do Norte,9465,Doutorado,4,Solteiro(a),Engenharia
25,1998-10-31,Rio Grande do Norte,8988,Ensino Médio,0,Divorciado(a),Educação
33,1991-05-20,Acre,12145,Ensino Fundamental,1,Viúvo(a),Engenharia
41,1983-01-09,Pará,20519,Ensino Superior,2,Solteiro(a),Tecnologia
50,1974-01-22,Amazonas,15920,Ensino Médio,1,Divorciado(a),Tecnologia
28,1996-08-05,Paraná,26193,Ensino Superior,0,Casado(a),Educação
22,2002-06-12,Paraná,15003,Mestrado,2,Divorciado(a),Educação
20,2004-06-24,Tocantins,1968,Ensino Médio,0,Casado(a),Engenharia
43,1981-07-23,Goiás,9973,Ensino Médio,2,Casado(a),Administração
49,1974-10-01,Santa Catarina,13919,Ensino Fundamental,3,Viúvo(a),Administração
18,2006-03-15,Sergipe,2215,Doutorado,1,Solteiro(a),Administração
38,1986-02-02,Espírito Santo,27813,Doutorado,1,Divorciado(a),Engenharia
28,1996-05-06,Mato Grosso do Sul,29803,Ensino Médio,2,Viúvo(a),Saúde
19,2005-02-24,Goiás,24148,Doutorado,0,Casado(a),Educação
42,1981-10-07,São Paulo,15704,Pós-Graduação,1,Casado(a),Saúde
39,1985-01-26,Rio de Janeiro,13420,Pós-Graduação,2,Divorciado(a),Saúde
25,1999-04-25,Piauí,22986,Ensino Fundamental,2,Casado(a),Engenharia
31,1993-03-18,Sergipe,4314,Pós-Graduação,1,Casado(a),Educação
25,1999-06-26,Amazonas,28614,Mestrado,3,Divorciado(a),Tecnologia
44,1980-03-10,Distrito Federal,7797,Doutorado,2,Viúvo(a),Administração
19,2005-06-01,Goiás,19526,Ensino Médio,0,Divorciado(a),Marketing
50,1974-08-04,Pernambuco,9668,Ensino Superior,2,Viúvo(a),Engenharia
43,1980-08-25,Amapá,3731,Ensino Fundamental,3,Casado(a),Educação
